wave_id,start_time_local,retries,initial_orders,missing_units_proxy_sum,duration_seconds
24619,07:38:40,129,129,430887,880.303
24620,12:57:45,49,300,241847,2043.034
24621,17:39:35,83,234,477318,1616.322
24622,03:35:10,266,101,74106,694.005
24623,09:52:10,81,360,109250,2441.335
24624,14:38:17,112,89,1664896,613.67
24625,21:35:49,160,181,591889,1245.606
24626,05:19:16,168,105,123373,721.318
24799,,105,152,358526,0
24800,04:48:16,277,496,870254,3782.84
24801,14:40:48,1,760,60525,5820.941
24934,,2,0,8165,0
24935,13:03:35,1,495,8017,3940.537
